,stft,cqt,centroid,bandwidth,rollof,tempo,rms,zero_crossing_rate,genre
37,0.46526712,0.5126015,2265.1797494299094,2471.5428147510215,4836.82908568958,117.45383522727273,0.18520258,0.08850740131578948,rock
38,0.49104577,0.5702057,2794.1019349104663,2457.262361955114,5434.058807656492,117.45383522727273,0.23737904,0.1541808515141254,rock
39,0.41785297,0.4161395,2209.4423256581426,2262.511732132619,4630.65533239406,123.046875,0.11668025,0.10039357282797988,rock
40,0.51709276,0.5581695,2395.937726623228,2342.172553378283,4998.553107766544,123.046875,0.22953995,0.0972616945626935,rock
41,0.49482256,0.49656937,3084.795701574752,2956.6579704619103,6696.501173840219,123.046875,0.22958006,0.13136012782991485,rock
42,0.46465117,0.45678574,3148.9658735794046,2887.1115692953585,6619.201641259917,123.046875,0.25121617,0.14842578427341332,rock
43,0.46790388,0.47069725,3091.145232788882,2839.245566572831,6460.360935081269,123.046875,0.25128168,0.14815632256191952,rock
44,0.26467213,0.32936186,2306.3021427580693,1912.2545595758438,4349.965363021236,123.046875,0.05665922,0.12390250096749227,rock
45,0.39746988,0.59789914,2354.9711935843857,2409.9003404326204,4831.154120005322,129.19921875,0.078262605,0.11914289255998452,rock
46,0.3762783,0.56518734,2388.5094781289267,2314.435458936546,4835.829091736407,123.046875,0.07992541,0.12421731387867647,rock
47,0.39235696,0.5890905,2289.932650236014,2350.111657546619,4654.938518890286,123.046875,0.07652934,0.11647737579818111,rock
48,0.38164526,0.5841873,2674.030682542572,2491.806428712644,5445.233740083204,123.046875,0.08339288,0.1412640739889706,rock
49,0.3287601,0.42541507,1667.2649966623374,1999.1611183188659,3408.6377217673667,123.046875,0.1146303,0.07235330398606811,pop
50,0.3105184,0.34673265,1981.0863422034308,2256.6249516222306,4102.583525572029,123.046875,0.24613391,0.07903164606714397,pop
51,0.42336926,0.60643154,2242.8703578350505,2624.1280538704737,5133.427292200803,123.046875,0.3315758,0.06882346894349846,pop
52,0.36589676,0.56914604,2435.6892083631974,2561.8745221002396,5317.509512414135,129.19921875,0.24057266,0.09666192494678792,pop
53,0.3894085,0.54101074,2312.5567256802296,2517.3759048154843,5040.552853799826,123.046875,0.3153378,0.08494808799342106,pop
54,0.35696873,0.48327285,1410.52567712333,1672.1797265153496,2746.6333914836496,129.19921875,0.18569224,0.06542628616002322,pop
